website,success_rate,partition
wolframalpha,0.32608695652173914,3
wolframalpha,0.32608695652173914,0
wolframalpha,0.2826086956521739,2
wolframalpha,0.2608695652173913,1
wolframalpha,0.1956521739130435,4
huggingface,0.3023255813953488,3
huggingface,0.27906976744186046,4
huggingface,0.23255813953488372,1
huggingface,0.23255813953488372,2
huggingface,0.16279069767441862,0
google_search,0.06976744186046512,3
google_search,0.06976744186046512,2
google_search,0.046511627906976744,4
google_search,0.046511627906976744,0
google_search,0.023255813953488372,1
google_maps,0.36585365853658536,2
google_maps,0.2682926829268293,1
google_maps,0.24390243902439024,0
google_maps,0.24390243902439024,3
google_maps,0.1951219512195122,4
github,0.21951219512195122,0
github,0.1951219512195122,3
github,0.14634146341463414,4
github,0.14634146341463414,2
github,0.12195121951219512,1
espn,0.2727272727272727,0
espn,0.1590909090909091,4
espn,0.1590909090909091,2
espn,0.11363636363636363,3
espn,0.06818181818181818,1
coursera,0.40476190476190477,2
coursera,0.40476190476190477,1
coursera,0.40476190476190477,4
coursera,0.38095238095238093,0
coursera,0.23809523809523808,3
dictionary.cambridge,0.5116279069767442,1
dictionary.cambridge,0.4418604651162791,3
dictionary.cambridge,0.3488372093023256,0
dictionary.cambridge,0.3488372093023256,4
dictionary.cambridge,0.32558139534883723,2
bbc,0.21428571428571427,2
bbc,0.19047619047619047,1
bbc,0.16666666666666666,0
bbc,0.14285714285714285,4
bbc,0.11904761904761904,3
arxiv,0.4883720930232558,0
arxiv,0.37209302325581395,3
arxiv,0.3488372093023256,1
arxiv,0.32558139534883723,2
arxiv,0.20930232558139536,4
apple,0.3488372093023256,1
apple,0.32558139534883723,0
apple,0.2558139534883721,3
apple,0.23255813953488372,4
apple,0.20930232558139536,2
amazon,0.34146341463414637,1
amazon,0.34146341463414637,3
amazon,0.2682926829268293,0
amazon,0.24390243902439024,2
amazon,0.21951219512195122,4
allrecipes,0.4,1
allrecipes,0.37777777777777777,2
allrecipes,0.37777777777777777,4
allrecipes,0.35555555555555557,3
allrecipes,0.3333333333333333,0